date_filed,company_name,company_city,company_state,loan_amount,employees_2019
2020-04-30,cbdMD Inc,Charlotte,NC,"$1,456,100.00",182
2020-04-30,Cytosorbents Corp,Monmouth Junction,NJ,"$1,400,000.00",153
2020-04-30,EVO Transportation Energy Services Inc,Peoria,AZ,"$10,000,000.00",290
2020-04-30,GSE SYSTEMS INC,Sykesville,MD,"$10,000,000.00",402
2020-04-30,Hudson Global Inc,Old Greenwich,CT,"$1,325,700.00",390
2020-04-30,JONES SODA CO,Seattle,WA,"$334,500.00",29
2020-04-30,NeuroMetrix Inc,Woburn,MA,"$773,200.00",23
2020-04-30,PIXELWORKS INC,San Jose,CA,"$796,262.00",229
2020-04-30,PROSPER MARKETPLACE INC,San Francisco,CA,"$8,447,100.00",404
2020-04-30,REPRO MED SYSTEMS INC,Chester,NY,"$1,476,508.00",71
2020-04-30,Sintx Technologies Inc,Salt Lake City,UT,"$390,820.00",28
2020-04-30,Sunworks Inc,Roseville,CA,"$2,847,400.00",178
2020-04-30,TOWN SPORTS INTERNATIONAL HOLDINGS INC,Elmsford,NY,"$2,742,200.00",9200
2020-04-30,TRAVELZOO,New York,NY,"$3,121,605.00",418
2020-04-30,Venus Concept Inc,Toronto,ON,"$1,665,000.00",525
2020-04-29,CAPSTONE TURBINE Corp,Van Nuys,CA,"$2,610,200.00",154
2020-04-29,Emerald Bioscience Inc.,Long Beach,CA,"$116,700.00",4
2020-04-29,Energy Services of America CORP,Huntington,WV,"$13,139,100.00",484
2020-04-29,General Moly Inc,Lakewood,CO,"$365,034.00",13
2020-04-29,HARROW HEALTH INC,Nashville,TN,"$1,967,100.00",133
2020-04-29,INTERNATIONAL ISOTOPES INC,Idaho Falls,ID,"$495,500.00",37
2020-04-29,Marin Software Incorporated,San Francisco,CA,"$3,319,600.00",229
2020-04-29,NATIONAL HOLDINGS CORP,New York,NY,"$6,496,800.00",970
2020-04-29,OncoCyte Corporation,Irvine,CA,"$1,140,930.00",33
2020-04-29,OneWater Marine Inc.,Buford,GA,"$14,151,796.50",
2020-04-29,"Pharma-Bio Serv, Inc.",Dorado,PR,"$1,931,700.00",185
2020-04-29,"RealNetworks, Inc.",Seattle,WA,"$2,870,568.00",453
2020-04-29,Rhino Resource Partners LP,Lexington,KY,"$10,000,000.00",605
2020-04-29,Sanara MedTech Inc.,Fort Worth,TX,"$583,000.00",40
2020-04-29,"Shimmick Construction Company, Inc.",Columbus,OH,"$325,300.00",22
2020-04-29,"Spanish Broadcasting System, Inc.",Miami,FL,"$6,478,800.00",451
2020-04-29,"Unique Fabricating, Inc.",Auburn Hills,MI,"$5,998,700.00",1063
2020-04-29,"Zedge, Inc.",New York,NY,"$217,900.00",53
2020-04-28,AEHR TEST SYSTEMS,Fremont,CA,"$1,678,789.00",79
2020-04-28,Bright Mountain Media Inc,Boca Raton,FL,"$464,800.00",14
2020-04-28,CASTLIGHT HEALTH INC,San Francisco,CA,"$10,000,000.00",463
2020-04-28,Conifer Holdings Inc,Birmingham,MI,"$2,744,667.00",147
2020-04-28,DUOS TECHNOLOGIES GROUP INC,Jacksonville,FL,"$1,410,270.00",81
2020-04-28,ESCALADE INC,Evansville,IN,"$5,627,500.00",468
2020-04-28,EyePoint Pharmaceuticals Inc,Watertown,MA,"$2,041,405.00",84
2020-04-28,GLOBAL HEALTHCARE REIT INC,Niwot,CO,"$574,975.00",2
2020-04-28,INSIGNIA SYSTEMS INC MN,Minneapolis,MN,"$1,054,200.00",54
2020-04-28,Lightwave Logic Inc,Englewood,CO,"$410,700.00",18
2020-04-28,Luvu Brands Inc,Atlanta,GA,"$1,096,200.00",170
2020-04-28,Motus GI Holdings Inc,Ft. Lauderdale,FL,"$780,942.00",49
2020-04-28,OPGEN INC,Gaithersburg,MD,"$1,138,983.00",40
2020-04-28,PECK Co HOLDINGS INC,South Burlington,VT,"$1,487,624.00",50
2020-04-28,SERVOTRONICS INC DE,Elma,NY,"$4,000,000.00",375
2020-04-28,SharpSpring Inc,Gainesville,FL,"$3,399,500.00",231
2020-04-28,SOLENO THERAPEUTICS INC,Redwood City,CA,"$350,445.00",25
2020-04-28,TETRAPHASE PHARMACEUTICALS INC,Watertown,MA,"$2,285,830.00",67
2020-04-28,TOMI Environmental Solutions Inc,Beverly Hills,CA,"$410,700.00",21
2020-04-28,TRANSENTERIX INC,Morrisville,NC,"$2,815,200.00",163
2020-04-27,Advanzeon Solutions Inc,Tampa,FL,"$1,243,840.00",2
2020-04-27,Alphatec Holdings Inc,Carlsbad,CA,"$4,300,000.00",227
2020-04-27,Arch Therapeutics Inc,Framingham,MA,"$176,300.00",8
2020-04-27,AVALON HOLDINGS CORP,Warren,OH,"$800,000.00",521
2020-04-27,AVIAT NETWORKS INC,Milpitas,CA,"$5,911,000.00",708
2020-04-27,Black Ridge Oil Gas Inc,Minneapolis,MN,"$112,925.00",5
2020-04-27,CIPHERLOC Corp,Buda,TX,"$365,430.00",11
2020-04-27,Crexendo Inc,Tempe,AZ,"$1,000,626.00",56
2020-04-27,CURIS INC,Lexington,MA,"$890,779.00",28
2020-04-27,Dolphin Entertainment Inc,Coral Gables,FL,"$2,096,000.00",159
2020-04-27,ELECTRONIC SYSTEMS TECHNOLOGY INC,Kennewick,WA,"$171,712.00",9
2020-04-27,ENDRA Life Sciences Inc,Ann Arbor,MI,"$308,600.00",15
2020-04-27,GIGA TRONICS INC,Dublin,CA,"$786,200.00",39
2020-04-27,IRIDEX CORP,Mountain View,CA,"$2,497,199.00",94
2020-04-27,KOPIN CORP,Westborough,MA,"$2,100,000.00",153
2020-04-27,MATEON THERAPEUTICS INC,South San Francisco,CA,"$250,000.00",2
2020-04-27,Mediaco Holding Inc,Indianapolis,IN,"$4,753,300.00",201
2020-04-27,MIRAGEN THERAPEUTICS INC,Boulder,CO,"$1,725,585.00",46
2020-04-27,MYOMO INC,Cambridge,MA,"$1,077,590.00",50
2020-04-27,NATHANS FAMOUS INC,Jericho,NY,"$1,224,645.00",149
2020-04-27,Neuronetics Inc,Malvern,PA,"$6,360,327.00",235
2020-04-27,OBALON THERAPEUTICS INC,Carlsbad,CA,"$430,047.00",34
2020-04-27,Omnitek Engineering Corp.,Vista,CA,"$199,000.00",8
2020-04-27,PARK CITY GROUP INC,Murray,UT,"$1,099,350.00",74
2020-04-27,Senseonics Holdings Inc,Germantown,MD,"$5,800,000.00",191
2020-04-27,STRATA Skin Sciences Inc,Horsham,PA,"$2,028,524.00",115
2020-04-27,Superior Drilling Products Inc,Vernal,UT,"$891,600.00",63
2020-04-27,TELKONET INC,Waukesha,WI,"$913,063.00",38
2020-04-27,Transportation Logistics Systems Inc,West Palm Beach,FL,"$2,941,212.50",542
2020-04-27,VistaGen Therapeutics Inc,South San Francisco,CA,"$224,415.00",9
2020-04-27,XCel Brands Inc,New York,NY,"$1,805,856.00",84
2020-04-24,ADDVANTAGE TECHNOLOGIES GROUP INC,Carrollton,TX,"$2,915,000.00",188
2020-04-24,American Resources Corp,Fishers,IN,"$2,700,000.00",227
2020-04-24,Amerinac Holding Corp,Chillicothe,OH,"$227,800.00",84
2020-04-24,Apex Global Brands Inc,Sherman Oaks,CA,"$700,000.00",43
2020-04-24,ASHFORD HOSPITALITY TRUST INC,Dallas,TX,"$45,860,126.00",0
